"","ID","Post_URL","Img_URL","Likes","Owner","Text","Date"
"1","CehcY7POY2K","http://instagram.com/p/CehcY7POY2K","https://instagram.fgdl2-2.fna.fbcdn.net/v/t51.2885-15/285962004_334621145465057_1530499025957041060_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgdl2-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Us9TaqmFIPwAX_YpFjz&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT9pYOdFKQSbJsuvig26JqHfEYN5r7Se0gBxRT_Y6XdNew&oe=62A76A54&_nc_sid=4efc9f","-1","49045635934","Nosotras no nos graduamos pero vean que bonitooo!   #prepatec #graduacion #2022 #teccampusgdl #embajadores #tec","2022-06-07 18:30:18"
"2","CehLqjbOD-G","http://instagram.com/p/CehLqjbOD-G","https://instagram.fgdl2-1.fna.fbcdn.net/v/t51.2885-15/286354143_142723308347678_4775242417145423982_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fgdl2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=oFxPien1tJsAX92nz18&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT_jCNALW2I7cmisGplTMNkvmrSbPBoawbtkFdCWx0BwRg&oe=62A77720&_nc_sid=4efc9f","28","2218930163","""Alguna vez has pensado en asociarte con algún amigo? Renata y Roxana de @criollostudio.mx nos contarán su experiencia en “Allá afuera... yo Diseño”.   ¿Tienes alguna pregunta para ellas? déjala en los comments o mándanos DM.  El foro se llevará a cabo en el OPEN ROOM SENSE, el 17 de junio a las 7:00 p.m. en el Centro de Congresos.""  #design #ldigdl #designstudent #studentcommunity #teccampusgdl @criollostudio.mx","2022-06-07 16:04:10"
"3","CeUg6-4OcGu","http://instagram.com/p/CeUg6-4OcGu","https://instagram.fgdl2-1.fna.fbcdn.net/v/t51.2885-15/285378319_426768918974384_6070466312506293109_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgdl2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=flCnuKh9kIMAX-X41fJ&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT9SKwLG7XqUBHg99uUYr0divJO1H6N4vmx6GfukVxTOvg&oe=62A69BFD&_nc_sid=4efc9f","958","40147482","Disfruten estos últimos días, aprovechen cada espacio y culminen todo con el mejor de los éxitos. Para que puedan decir este próximo 29 de junio: ¡Ya me gradué! 🙌🎓🤩  Para ver todas las fotografías de la NocheTec ingresa a nuestra fanpage oficial del #TECcampusGDL. 📲","2022-06-02 17:59:47"
"4","CeUX_G4uWEK","http://instagram.com/p/CeUX_G4uWEK","https://instagram.fgdl2-2.fna.fbcdn.net/v/t51.2885-15/285215707_546112697228813_4018304340318537013_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgdl2-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=8uEXTBSDHtsAX-Kww19&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT-txihPvuFqPSb7R_rE6CQe2Hq8xa31Bw2pXndx0kUMFA&oe=62A5E1DD&_nc_sid=4efc9f","1170","40147482","¡Así se vivieron las #NocheTec del #TECcampusGDL! ✨👏  A casi nada de llegar a la #GraduaciónTEC. 🙌🎓   Para ver todas las fotografías de la NocheTec ingresa a nuestra fanpage oficial en Facebook del TEC Campus Guadalajara. 📲","2022-06-02 16:41:42"
"5","CeP6G5RM2be","http://instagram.com/p/CeP6G5RM2be","https://instagram.fgdl2-1.fna.fbcdn.net/v/t51.2885-15/285177306_1023201421891439_3019326152793869378_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgdl2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=e248vyf5g4QAX94f3Vy&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT_wG3A2e_JLqC6PqgZLFJ9ELiUH1hwHbcw1J3tFePQRhQ&oe=62A730A9&_nc_sid=4efc9f","341","3169490251","“El Diego de musicales no existe”   Soy de los que tardan en compartir los recuerdos, pero ya hace un año exactamente que grabamos en Guadalajara “A Chorus On Line” con la directora y bellísimo ser humano Paty Geyer y un elenco súper talentoso de artistas de los cuales me llevé mucho amor y aprendizaje.   Gracias danza por esta experiencia tan bonita. 🎩🕺🏻  #achorusline #musicaltheatre #teccampusgdl #patygeyerdancecenter #dance #audition","2022-05-31 23:03:39"
"6","CeEoUn0uv7c","http://instagram.com/p/CeEoUn0uv7c","https://instagram.fgdl2-2.fna.fbcdn.net/v/t51.2885-15/284490523_5194382794009661_5613471277182489228_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fgdl2-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=M2VQdCctwR8AX_r4BMX&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT-BYnCGQlweIOJbvZP06GRhWUjoRozlnhOSuGi5vJk5iQ&oe=62A7631E&_nc_sid=4efc9f","139","49069661233","Mis graduados 🤍  Estoy tan feliz de verlos completar una etapa tan importante en su vida y de ser parte de ella. Gracias por el increíble ejemplo que han sido para @majoo.embajadorestec y para mi. Este programa nos hizo compañeros pero la vida nos hizo hermanos 💙 Gracias Gracias Gracias y ahora que van a una nueva etapa nunca olviden lo maravillosas personas que son.  Los quiero más de lo que se pueden imaginar y estoy muy orgullosa de ustedes 💙   #amamosloquehacemos #7mageneración #embajadorestec #tec #prepatec #prepatecgdl #campusgdl #teccampusgdl #tecnologicodemonterrey #liderazgo #regresoaclases #tec #tecstore #backtoschool #amigos #campus #gdl #gruposestudiantiles #deporte #arteycultura #eventos #prepasgdl #amigos #soyprepatec #soytec #graduacion #graduaciontec #22 #generación2022","2022-05-27 13:56:36"
"7","CeC65vNDp9P","http://instagram.com/p/CeC65vNDp9P","https://instagram.fgdl2-2.fna.fbcdn.net/v/t51.2885-15/284046323_540303060968548_6105379027581964764_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgdl2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=Exlg2zYXru4AX_lpE4z&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT8YfFbrQQTQ3LMNZXckoeNggdscQhgvfLCG8amRH4rxPg&oe=62A792FA&_nc_sid=4efc9f","-1","49045635934","no cap, solo estábamos felices  . . . . . . .  #amamosloquehacemos #7mageneración #embajadorestec #tec #prepatec #prepatecgdl #campusgdi #teccampusgdl #tecnologicodemonterrey #liderazgo #regresoaclases #tec #tecstore #backtoschool #amigos #campus #gdl #gruposestudiantiles #deporte #arteycultura #eventos #prepasgdl #amigos #soyprepatec #soytec","2022-05-26 22:00:28"
"8","Cd_MmVouofR","http://instagram.com/p/Cd_MmVouofR","https://instagram.fgdl2-2.fna.fbcdn.net/v/t51.2885-15/283484584_518329299772362_4232438728934641888_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgdl2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=G0VcI72JuW0AX9gQhxG&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT9xbhu7XcurRd9FIs8Z8jrIgd7jeJoE6n1ZiEa7-nWVdA&oe=62A61CF6&_nc_sid=4efc9f","65","40147482","#TB al @vibrartfestival con @caztro en el #TECcampusGDL cerrando el evento. 🙌 . . . . 📷: Storytellers","2022-05-25 11:18:09"
"9","Cd9fZ6SuAdk","http://instagram.com/p/Cd9fZ6SuAdk","https://instagram.fgdl2-1.fna.fbcdn.net/v/t51.2885-15/283535261_104241902270312_8039861377482852238_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgdl2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=pO4oU0OrRSEAX9Ssqrx&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT-vop2tJVfEk6oVmbv3NDuvBLzvFWHA39A3L6Vfw5jY5w&oe=62A70D93&_nc_sid=4efc9f","123","40147482","#TB al @vibrartfestival #FestivalDeLaCanción #TECcampusGDL 🎸 . . . . 📷: @v.f.p","2022-05-24 19:23:59"
"10","Cd9bLz5uL1e","http://instagram.com/p/Cd9bLz5uL1e","https://instagram.fgdl2-1.fna.fbcdn.net/v/t51.2885-15/283949538_1145002456279947_1533295669331837715_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgdl2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Byn83MbxrKQAX8AKBVs&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT-A1m-PhyLlgKJafXvcmLeUQCKeX4wlvAqoGj5mVOuCmw&oe=62A713BC&_nc_sid=4efc9f","83","40147482","#TB al @vibrartfestival #FestivalDeLaCanción #TECcampusGDL 🎸 . . . . 📷: @v.f.p","2022-05-24 18:47:07"
"11","Cd9Ivi5OkKI","http://instagram.com/p/Cd9Ivi5OkKI","https://instagram.fgdl2-1.fna.fbcdn.net/v/t51.2885-15/283300740_558112142603735_4937301321679075504_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgdl2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=GHtLh6e8Id8AX8uHovf&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT-FeXlXi4D52AtMvOmfMmrTQba3JUHSGmW0vUiSDKuNSg&oe=62A7CCA8&_nc_sid=4efc9f","83","40147482","#TB al @vibrartfestival #Monólogos #TECcampusGDL 🗣 . . . . 📷: @v.f.p","2022-05-24 16:05:58"
"12","Cd9BZlFuDQc","http://instagram.com/p/Cd9BZlFuDQc","https://instagram.fgdl2-1.fna.fbcdn.net/v/t51.2885-15/283536468_170985408697670_4119385786108084264_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgdl2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=0IYqjsPVuxAAX-RfPeR&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT8G5EQZV7Oz8oFU-KZxSZJUHaZOa9qJg7nwny_R_X_Eqw&oe=62A6D2B0&_nc_sid=4efc9f","64","40147482","#TB al @vibrartfestival #Monólogos #TECcampusGDL 🗣 . . . . 📷: @v.f.p","2022-05-24 15:01:48"
"13","Cd88ZWKO4ep","http://instagram.com/p/Cd88ZWKO4ep","https://instagram.fgdl2-1.fna.fbcdn.net/v/t51.2885-15/283434741_151385487445694_8343912906737737522_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fgdl2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=sXG3efxdgVEAX9BO0nO&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT_IkN76oel9pQ8HgRnaR82SEZY1SWzNxycrVlozMIQUqw&oe=62A6447B&_nc_sid=4efc9f","77","40147482","#TB al @vibrartfestival #Monólogos #TECcampusGDL 🗣 . . . . 📷: @v.f.p","2022-05-24 14:18:05"
"14","Cd6dTVJD9iS","http://instagram.com/p/Cd6dTVJD9iS","https://instagram.fgdl2-2.fna.fbcdn.net/v/t51.2885-15/283684582_581456739857788_6465154381810213563_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fgdl2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=rmo6G61yRJoAX8kQQBL&edm=ABZsPhsBAAAA&ccb=7-5&oh=00_AT9hdHHDdodYU4Fy_gQXpolgPyxA9GfnlCN6x_lKwOMzBw&oe=62A241BE&_nc_sid=4efc9f","63","49045635934","les dejo un video con mi team 💗 •7ma durame siempreeee . . . . .  #amamosloquehacemos #7mageneración #embajadorestec #tec #prepatec #prepatecgdl #campusgdi #teccampusgdl #tecnologicodemonterrey #liderazgo #regresoaclases #tec #tecstore #backtoschool #amigos #campus #gdl #gruposestudiantiles #deporte #arteycultura #eventos #prepasgdl #amigos #soyprepatec #soytec","2022-05-23 15:08:35"
