asin,product_title,average_rating,total_reviews,review_author,author_badge,badge,reviewed_product_attribute,reviewed_variant_asin,variant_review_url,review_rating,review_date,reviewed_country,review_text,review_comment_count,review_header,no_of_people_reacted_helpful,author_profile_url,url,brand,review_url,input
B09XC5SKR2,The Batman,4.5,558,Hung Truong,,Verified Purchase,,,,5.0,"July 19, 2022",United States,"This is The Batman! I think there won't be a better Batman film, Matt Reeves has outdone himself, with beautiful cinematography, and fantastic composition, the score by Michael Giacchino it's so pleasant to the ear as what you see on the screen, the performance by Robert Pattinson as The Batman I couldn't ask more from him. You should definitely watch this film, it is beautiful and vengeance!",,Definitely the Best Batman movie ever!,,https://www.amazon.com/gp/profile/amzn1.account.AEK5XIZLXRSHJC26CYEYNXLFDE3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,https://www.amazon.com/product-reviews/B09XC5SKR2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=7&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews,Robert Pattinson,https://www.amazon.com/gp/customer-reviews/RH9P1Q7FYA8N1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XC5SKR2,https://www.amazon.com/-/es/Robert-Pattinson/dp/B09XC5SKR2/ref=sr_1_1?keywords=the+batman&qid=1664324014&qu=eyJxc2MiOiI1LjI1IiwicXNhIjoiNC42NyIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=the+batman%2Caps%2C217&sr=8-1
B09XC5SKR2,The Batman,4.5,558,S. A. ROBBINS,VINE VOICE,,,,,1.0,"April 19, 2022",United States,"If you took out the filler and extended driving/chase scenes, the movie would probably be 20 minutes long. The movie is dark, the plot is woke, the main villain is Bruce's father! And the rest of the villains are all Italians. Clearly somebody thinks all Italians are crooks. The size/height difference between Bruce Wayne and Batman is huge, the batsuit must be adding 6-8"" all around including height. The Batmobile looks like a piece of junk and can't even keep with a car even though the batmobile has a rocket engine! There was nothing to like about this movie. I'm just glad I watched it for free otherwise I would want a refund.",,"Worst Batman movie ever. Slow, really slow and tons of filler.",32,https://www.amazon.com/gp/profile/amzn1.account.AHNAOAH7LTMHFMI4URV4VUSV66MA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,https://www.amazon.com/product-reviews/B09XC5SKR2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=50&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews,Robert Pattinson,https://www.amazon.com/gp/customer-reviews/R2TUMH98NZ2SXT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XC5SKR2,https://www.amazon.com/-/es/Robert-Pattinson/dp/B09XC5SKR2/ref=sr_1_1?keywords=the+batman&qid=1664324014&qu=eyJxc2MiOiI1LjI1IiwicXNhIjoiNC42NyIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=the+batman%2Caps%2C217&sr=8-1
B09XC5SKR2,The Batman,4.5,558,Mac,,Verified Purchase,,,,5.0,"September 23, 2022",United States,"Enjoyed the movie. Some say it's too dark, but to me that's how Batman should be",,Surprisingly good,,https://www.amazon.com/gp/profile/amzn1.account.AHWPWZWMTLQ3L2JDJ2J6WBEMGQMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,https://www.amazon.com/product-reviews/B09XC5SKR2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=51&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews,Robert Pattinson,https://www.amazon.com/gp/customer-reviews/R630VMZ7VYA34/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XC5SKR2,https://www.amazon.com/-/es/Robert-Pattinson/dp/B09XC5SKR2/ref=sr_1_1?keywords=the+batman&qid=1664324014&qu=eyJxc2MiOiI1LjI1IiwicXNhIjoiNC42NyIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=the+batman%2Caps%2C217&sr=8-1
B09XC5SKR2,The Batman,4.5,558,Sean J. Malloy,,Verified Purchase,,,,5.0,"June 04, 2022",United States,"I was expecting trash but The Batman was fantastic. A terrific movie I’ll watch again and again. Much more emotional depth between Bruce Wayne and a terrific Alfred. And, a sampled, sometimes repetitive soundtrack that was more interesting than not though Nirvana’s haunted my head since. And thankfully the director skipped over Batman’s origin story, a boring staple of all previous. Hints of a sequel…I’m ready.",,Batman as Batman should be.,1,https://www.amazon.com/gp/profile/amzn1.account.AFDJ3MZNIQCVVL6U3I3MXEVMWVKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,https://www.amazon.com/product-reviews/B09XC5SKR2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=14&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews,Robert Pattinson,https://www.amazon.com/gp/customer-reviews/R3690RCZWJDEL5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XC5SKR2,https://www.amazon.com/-/es/Robert-Pattinson/dp/B09XC5SKR2/ref=sr_1_1?keywords=the+batman&qid=1664324014&qu=eyJxc2MiOiI1LjI1IiwicXNhIjoiNC42NyIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=the+batman%2Caps%2C217&sr=8-1
B09XC5SKR2,The Batman,4.5,558,Amazon Customer,,Verified Purchase,,,,1.0,"June 04, 2022",United States,"This is a pitiful movie to watch, after about a hour I've given up and turned off the movie.",,Terrible movie,3,https://www.amazon.com/gp/profile/amzn1.account.AG7E3467245V4PKN2KVG6UFGIXYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,https://www.amazon.com/product-reviews/B09XC5SKR2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=27&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews,Robert Pattinson,https://www.amazon.com/gp/customer-reviews/R2ZTNJB7TNEJOR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XC5SKR2,https://www.amazon.com/-/es/Robert-Pattinson/dp/B09XC5SKR2/ref=sr_1_1?keywords=the+batman&qid=1664324014&qu=eyJxc2MiOiI1LjI1IiwicXNhIjoiNC42NyIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=the+batman%2Caps%2C217&sr=8-1
B09XC5SKR2,The Batman,4.5,558,Will,,,,,,5.0,"April 20, 2022",United States,"Unlike any Batman movie before, the story and mystery is incredible and the actors and actresses chosen for these roles just fit. Acting is incredible and production is exquisite. 10/10",,Amazing story,,https://www.amazon.com/gp/profile/amzn1.account.AFRO4MOPRCDUUIF3K4XI3OYEYJHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,https://www.amazon.com/product-reviews/B09XC5SKR2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=38&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews,Robert Pattinson,https://www.amazon.com/gp/customer-reviews/R2U9UD1CD0YM01/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XC5SKR2,https://www.amazon.com/-/es/Robert-Pattinson/dp/B09XC5SKR2/ref=sr_1_1?keywords=the+batman&qid=1664324014&qu=eyJxc2MiOiI1LjI1IiwicXNhIjoiNC42NyIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=the+batman%2Caps%2C217&sr=8-1
B09XC5SKR2,The Batman,4.5,558,InTennessee,,,,,,1.0,"July 04, 2022",United States,"I’m a big fan of all of the Batman movies, and this one is the worst by far. I almost want to bring a lawsuit against the makers of this film for wasting three hours of my life. It had horrible actors, writing, plot, special effects, with a sprinkling of politically correct wokeness. Don’t waste your time or money on this garbage.",,Worst Batman Ever!!,2,https://www.amazon.com/gp/profile/amzn1.account.AGMMDYD445CVFXYVRSZO6QS5UJCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,https://www.amazon.com/product-reviews/B09XC5SKR2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=43&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews,Robert Pattinson,https://www.amazon.com/gp/customer-reviews/R2MIHWJ31RQAZK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XC5SKR2,https://www.amazon.com/-/es/Robert-Pattinson/dp/B09XC5SKR2/ref=sr_1_1?keywords=the+batman&qid=1664324014&qu=eyJxc2MiOiI1LjI1IiwicXNhIjoiNC42NyIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=the+batman%2Caps%2C217&sr=8-1
B09XC5SKR2,The Batman,4.5,558,Sirjay,,,,,,1.0,"May 01, 2022",United States,Absolutely the Worst Batman movie ever. Would rather watch Michael Keaton as Batman. Was actually excited when the movie ended.,,Absolutely the Worst,6,https://www.amazon.com/gp/profile/amzn1.account.AGIWLAMEH57FVDLNS26TOXLXCUDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,https://www.amazon.com/product-reviews/B09XC5SKR2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=50&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews,Robert Pattinson,https://www.amazon.com/gp/customer-reviews/RD9V3HNVVL48J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XC5SKR2,https://www.amazon.com/-/es/Robert-Pattinson/dp/B09XC5SKR2/ref=sr_1_1?keywords=the+batman&qid=1664324014&qu=eyJxc2MiOiI1LjI1IiwicXNhIjoiNC42NyIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=the+batman%2Caps%2C217&sr=8-1
B09XC5SKR2,The Batman,4.5,558,Nunyabidness,,,,,,3.0,"April 19, 2022",United States 🇺🇸,"It was ok. That’s a problem for a three hour film that aspires to kick off a new franchise. This is at least the 7th Batman that we’ve introduced and it’s hard to take the character seriously at this point. DC continues to drive the comic into the ground through Wolverine like overexposure, but I still have faith in the films. A better editor would’ve helped immensely but the script was still flawed. The acting was wooden led by Robert Pattinson, who I think is a good actor. He clearly had seen all the Batman movies and did the requisite Batman voice like they all do. It’s his Bruce Wayne that’s the problem. Zoe Kravitz is competent, if unbelievable in throwing grown men around. Colin Farrell was ok, but the make up did all the heavy lifting. Jeffrey Wright and John Turturro absolutely mail it in. They both did the most generic versions of themselves. Paul Dano, on the other hand, continues to show that he might be the most talented American actor working today. The addition of Barry Keoghan really added a depth to the insanity of a Gotham villain. It makes the shot of venom that Batman takes less cringey when you realize Bane might be treated the same way. Technically, the film is marvelous. The cinematography and sound mix are top notch but not enough to save the film for me. It’s a title to watch once, but not to own.",,Underwhelming,30,https://www.amazon.com/gp/profile/amzn1.account.AEAWMWKWPTQZFGQBMHOCZLHJB7WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,https://www.amazon.com/product-reviews/B09XC5SKR2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=31&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews,Robert Pattinson,https://www.amazon.com/gp/customer-reviews/R2C5VSBDMXC27T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XC5SKR2,https://www.amazon.com/-/es/Robert-Pattinson/dp/B09XC5SKR2/ref=sr_1_1?keywords=the+batman&qid=1664324014&qu=eyJxc2MiOiI1LjI1IiwicXNhIjoiNC42NyIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=the+batman%2Caps%2C217&sr=8-1
B09XC5SKR2,The Batman,4.5,558,ronald goodin,,Verified Purchase,,,,1.0,"August 23, 2022",United States,"I'm surprised Batman is still white. Batwoman, unnecessary in the movie, repeats the black modern day motto, white supremacy. Whites are idiot cops and crooks and blacks are the brave smart heroes. Woke as hell.",,Woke,5,https://www.amazon.com/gp/profile/amzn1.account.AHDPLMUUSFUT2EQQRBMYRVHP42FQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,https://www.amazon.com/product-reviews/B09XC5SKR2/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=24&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews,Robert Pattinson,https://www.amazon.com/gp/customer-reviews/R29AYCRUT7I8VP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XC5SKR2,https://www.amazon.com/-/es/Robert-Pattinson/dp/B09XC5SKR2/ref=sr_1_1?keywords=the+batman&qid=1664324014&qu=eyJxc2MiOiI1LjI1IiwicXNhIjoiNC42NyIsInFzcCI6IjIuODAifQ%3D%3D&sprefix=the+batman%2Caps%2C217&sr=8-1
