"asin","product_title","average_rating","total_reviews","review_author","author_badge","badge","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B095322ZW8","Nomadland (4K UHD)","4.3","866","Dave Knight","","Verified Purchase","","","","2.0","May 05, 2021","United States","Okay this is one of those really great acted, directed and written movies. BUT, BUT it's very very depressing, boring and very, very slow. By the way, did I mention how very depressing this movie is? I remember seeing another Academy Award winner for best picture-Chariots of Fire. That was another really great acted, directed and written movie. That movie to me was was also very, very slow & boring. But at least I did not feel sad and depressed after.","","Great performances but...","","https://www.amazon.com/gp/profile/amzn1.account.AHFOXIL5R2Q3T45NSKGI4KX7O5UQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B095322ZW8/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=35&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Frances McDormand","https://www.amazon.com/gp/customer-reviews/RBA46KD8Q3NP5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095322ZW8","https://www.amazon.com/-/en/Frances-McDormand/dp/B095322ZW8/ref=sr_1_4?keywords=nomadland&qid=1664326384&qu=eyJxc2MiOiIyLjQ3IiwicXNhIjoiMi43MSIsInFzcCI6IjEuMjAifQ%3D%3D&sprefix=Nomadla%2Caps%2C285&sr=8-4"
"B095322ZW8","Nomadland (4K UHD)","4.3","866","Theresa O'Brien","","Verified Purchase","","","","5.0","January 16, 2022","United States 🇺🇸","Loved it","","Interesting","","https://www.amazon.com/gp/profile/amzn1.account.AHX6CNUPFXQ4P3E2KMLMFJEIRN2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B095322ZW8/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=22&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Frances McDormand","https://www.amazon.com/gp/customer-reviews/R3IQ6C8S11X5P0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095322ZW8","https://www.amazon.com/-/en/Frances-McDormand/dp/B095322ZW8/ref=sr_1_4?keywords=nomadland&qid=1664326384&qu=eyJxc2MiOiIyLjQ3IiwicXNhIjoiMi43MSIsInFzcCI6IjEuMjAifQ%3D%3D&sprefix=Nomadla%2Caps%2C285&sr=8-4"
"B095322ZW8","Nomadland (4K UHD)","4.3","866","Harriet","","","","","","4.0","September 13, 2021","United States 🇺🇸","Good movie but rather depressing. I wouldn't recommend watching this if you're having a bad day.","","interesting","2","https://www.amazon.com/gp/profile/amzn1.account.AGZEHNVVKTSZDQ3CQGCVDPDWCIAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B095322ZW8/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=69&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Frances McDormand","https://www.amazon.com/gp/customer-reviews/R3TYH7QQUZ3AL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095322ZW8","https://www.amazon.com/-/en/Frances-McDormand/dp/B095322ZW8/ref=sr_1_4?keywords=nomadland&qid=1664326384&qu=eyJxc2MiOiIyLjQ3IiwicXNhIjoiMi43MSIsInFzcCI6IjEuMjAifQ%3D%3D&sprefix=Nomadla%2Caps%2C285&sr=8-4"
"B095322ZW8","Nomadland (4K UHD)","4.3","866","MJ Johnson","","Verified Purchase","","","","5.0","July 28, 2021","United States","After not being able to go to the theater during the pandemic it was great to be able to see this award winning movie at home.","","Good movie!","","https://www.amazon.com/gp/profile/amzn1.account.AGA6DOZ7A5LW655ZFXYQPTKNPSPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B095322ZW8/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=27&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Frances McDormand","https://www.amazon.com/gp/customer-reviews/R18M9O36ODWD2R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095322ZW8","https://www.amazon.com/-/en/Frances-McDormand/dp/B095322ZW8/ref=sr_1_4?keywords=nomadland&qid=1664326384&qu=eyJxc2MiOiIyLjQ3IiwicXNhIjoiMi43MSIsInFzcCI6IjEuMjAifQ%3D%3D&sprefix=Nomadla%2Caps%2C285&sr=8-4"
"B095322ZW8","Nomadland (4K UHD)","4.3","866","AFG","","Verified Purchase","","","","2.0","July 22, 2022","United States 🇺🇸","If you want to see a depressing movie about a mentally challenged individual, this is it! The main character experiences a series of challenges from which she’s unable to recover psychologically. Instead fue chooses to live the life of a maladjusted victim.","","A waste of time and money.","","https://www.amazon.com/gp/profile/amzn1.account.AFF5EWYG7352KZBD2BZSUSG4MFRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B095322ZW8/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=7&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Frances McDormand","https://www.amazon.com/gp/customer-reviews/R2CNMTOHIBLGH1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095322ZW8","https://www.amazon.com/-/en/Frances-McDormand/dp/B095322ZW8/ref=sr_1_4?keywords=nomadland&qid=1664326384&qu=eyJxc2MiOiIyLjQ3IiwicXNhIjoiMi43MSIsInFzcCI6IjEuMjAifQ%3D%3D&sprefix=Nomadla%2Caps%2C285&sr=8-4"
"B095322ZW8","Nomadland (4K UHD)","4.3","866","Amazon Customer","","Verified Purchase","","","","5.0","May 03, 2021","United States","This movie gives some insight into the life of a woman who lost “the American Dream”. We get a glimpse of her love and loss and how she copes on the road. Sad, yet moving film.","","Insight into losing the American Dream","2","https://www.amazon.com/gp/profile/amzn1.account.AEMLNEGJSYZDLGLFMPRAH45GDNJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B095322ZW8/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=26&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Frances McDormand","https://www.amazon.com/gp/customer-reviews/R2N20EF9UF9X72/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095322ZW8","https://www.amazon.com/-/en/Frances-McDormand/dp/B095322ZW8/ref=sr_1_4?keywords=nomadland&qid=1664326384&qu=eyJxc2MiOiIyLjQ3IiwicXNhIjoiMi43MSIsInFzcCI6IjEuMjAifQ%3D%3D&sprefix=Nomadla%2Caps%2C285&sr=8-4"
"B095322ZW8","Nomadland (4K UHD)","4.3","866","Alex Bravo","","Verified Purchase","","","","5.0","June 15, 2021","United States 🇺🇸","It is so touching....wow wow wow...and is not just the acohol talking...the reflection of an old gone life and its soft nostalgic way, is truly hypnotic...maybe I'm just getting older...this one deserves 6 stars in my opinion...I truly enjoyed the message of hope of this film...this is only for all the beautiful people...cheers...","","Outmost excellent...","","https://www.amazon.com/gp/profile/amzn1.account.AEVRICR5SU5JUOQKBXVDJM4OQ33Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B095322ZW8/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=17&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Frances McDormand","https://www.amazon.com/gp/customer-reviews/R1R1LNEK75YTFB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095322ZW8","https://www.amazon.com/-/en/Frances-McDormand/dp/B095322ZW8/ref=sr_1_4?keywords=nomadland&qid=1664326384&qu=eyJxc2MiOiIyLjQ3IiwicXNhIjoiMi43MSIsInFzcCI6IjEuMjAifQ%3D%3D&sprefix=Nomadla%2Caps%2C285&sr=8-4"
"B095322ZW8","Nomadland (4K UHD)","4.3","866","Toni","","Verified Purchase","","","","3.0","July 13, 2021","United States 🇺🇸","Let me save you - this is a movie about a woman who lives in a van, gets odd jobs during the year and ......oh, that is it. You are welcome.","","Why all the awards?","","https://www.amazon.com/gp/profile/amzn1.account.AHPS4G4X63IKSLIOSAFBKMIZ5JAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B095322ZW8/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=23&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Frances McDormand","https://www.amazon.com/gp/customer-reviews/R2W7I1AQDTLP59/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095322ZW8","https://www.amazon.com/-/en/Frances-McDormand/dp/B095322ZW8/ref=sr_1_4?keywords=nomadland&qid=1664326384&qu=eyJxc2MiOiIyLjQ3IiwicXNhIjoiMi43MSIsInFzcCI6IjEuMjAifQ%3D%3D&sprefix=Nomadla%2Caps%2C285&sr=8-4"
"B095322ZW8","Nomadland (4K UHD)","4.3","866","JEANNE BALA","","Verified Purchase","","","","5.0","July 16, 2021","United States 🇺🇸","Considering the lifestyle revealed in this film myself, I found it enthralling even in it's minutiae. The characters are very well drawn. I've always enjoyed the work of Francis McDormand and she does NOT disappoint here - BRILLIANT! This is one of those films that it so truthful to its environment that you leave feeling you have lived the experience along with the characters. ❤️","","TRUTHFUL, UNVARNISHED - REAL!!!","","https://www.amazon.com/gp/profile/amzn1.account.AGZVYZ2WASPGHFANWUX4MK7VISTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B095322ZW8/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=13&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Frances McDormand","https://www.amazon.com/gp/customer-reviews/R6IIFCMUL53NR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095322ZW8","https://www.amazon.com/-/en/Frances-McDormand/dp/B095322ZW8/ref=sr_1_4?keywords=nomadland&qid=1664326384&qu=eyJxc2MiOiIyLjQ3IiwicXNhIjoiMi43MSIsInFzcCI6IjEuMjAifQ%3D%3D&sprefix=Nomadla%2Caps%2C285&sr=8-4"
"B095322ZW8","Nomadland (4K UHD)","4.3","866","Charlene","","Verified Purchase","","","","5.0","April 14, 2021","United States 🇺🇸","The best movie I have watched in the last 5 years. I have been moved to the very core. I never do reviews, but I feel the need to do one for Nomadland. Absolutely astounding work. I think deserves an Oscar for Best Picture.","","Astounding","80","https://www.amazon.com/gp/profile/amzn1.account.AEVSRF4YE5T7WXTRG5FL4CO57AFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B095322ZW8/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=25&filterByStar=all_stars&sortBy=helpful&reviewerType=all_reviews","Frances McDormand","https://www.amazon.com/gp/customer-reviews/R1QBHDL965UM7O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095322ZW8","https://www.amazon.com/-/en/Frances-McDormand/dp/B095322ZW8/ref=sr_1_4?keywords=nomadland&qid=1664326384&qu=eyJxc2MiOiIyLjQ3IiwicXNhIjoiMi43MSIsInFzcCI6IjEuMjAifQ%3D%3D&sprefix=Nomadla%2Caps%2C285&sr=8-4"
